,m,gateway,host,node,owner,value,_time
0,#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
137,Humidity,1,mqtt.angizehco.com,4,toossab,21.85,2022-10-19T10:00:00Z
138,Humidity,1,mqtt.angizehco.com,4,toossab,22.17,2022-10-19T11:00:00Z
139,Humidity,1,mqtt.angizehco.com,4,toossab,22.03,2022-10-19T12:00:00Z
140,Humidity,1,mqtt.angizehco.com,4,toossab,21.82,2022-10-19T13:00:00Z
141,Humidity,1,mqtt.angizehco.com,4,toossab,22.29,2022-10-19T14:00:00Z
142,Humidity,1,mqtt.angizehco.com,4,toossab,22.64,2022-10-19T15:00:00Z
143,Humidity,1,mqtt.angizehco.com,4,toossab,21.83,2022-10-19T16:00:00Z
144,Humidity,1,mqtt.angizehco.com,4,toossab,21.71,2022-10-19T17:00:00Z
145,Humidity,1,mqtt.angizehco.com,4,toossab,20.87,2022-10-19T18:00:00Z
146,Humidity,1,mqtt.angizehco.com,4,toossab,20.38,2022-10-19T19:00:00Z
147,Humidity,1,mqtt.angizehco.com,4,toossab,20.32,2022-10-19T20:00:00Z
148,Humidity,1,mqtt.angizehco.com,4,toossab,20.18,2022-10-19T21:00:00Z
149,Humidity,1,mqtt.angizehco.com,4,toossab,19.98,2022-10-19T22:00:00Z
150,Humidity,1,mqtt.angizehco.com,4,toossab,19.84,2022-10-19T23:00:00Z
151,Humidity,1,mqtt.angizehco.com,4,toossab,19.7,2022-10-20T00:00:00Z
152,Humidity,1,mqtt.angizehco.com,4,toossab,19.66,2022-10-20T01:00:00Z
153,Humidity,1,mqtt.angizehco.com,4,toossab,19.67,2022-10-20T02:00:00Z
154,Humidity,1,mqtt.angizehco.com,4,toossab,19.93,2022-10-20T03:00:00Z
155,Humidity,1,mqtt.angizehco.com,4,toossab,19.82,2022-10-20T04:00:00Z
156,Humidity,1,mqtt.angizehco.com,4,toossab,20.05,2022-10-20T05:00:00Z
157,Humidity,1,mqtt.angizehco.com,4,toossab,19.83,2022-10-20T06:00:00Z
158,Humidity,1,mqtt.angizehco.com,4,toossab,20.09,2022-10-20T07:00:00Z
159,Humidity,1,mqtt.angizehco.com,4,toossab,19.78,2022-10-20T08:00:00Z
160,Humidity,1,mqtt.angizehco.com,4,toossab,18.51,2022-10-20T09:00:00Z
161,Humidity,1,mqtt.angizehco.com,4,toossab,17.59,2022-10-20T10:00:00Z
162,Humidity,1,mqtt.angizehco.com,4,toossab,17.81,2022-10-20T11:00:00Z
163,Humidity,1,mqtt.angizehco.com,4,toossab,18.14,2022-10-20T12:00:00Z
164,Humidity,1,mqtt.angizehco.com,4,toossab,17.97,2022-10-20T13:00:00Z
165,Humidity,1,mqtt.angizehco.com,4,toossab,17.78,2022-10-20T14:00:00Z
166,Humidity,1,mqtt.angizehco.com,4,toossab,17.76,2022-10-20T15:00:00Z
167,Humidity,1,mqtt.angizehco.com,4,toossab,18.18,2022-10-20T16:00:00Z
168,Humidity,1,mqtt.angizehco.com,4,toossab,18.21,2022-10-20T17:00:00Z
169,Humidity,1,mqtt.angizehco.com,4,toossab,18.39,2022-10-20T18:00:00Z
170,Humidity,1,mqtt.angizehco.com,4,toossab,18.62,2022-10-20T19:00:00Z
171,Humidity,1,mqtt.angizehco.com,4,toossab,18.7,2022-10-20T20:00:00Z
172,Humidity,1,mqtt.angizehco.com,4,toossab,18.68,2022-10-20T21:00:00Z
173,Humidity,1,mqtt.angizehco.com,4,toossab,18.59,2022-10-20T22:00:00Z
174,Humidity,1,mqtt.angizehco.com,4,toossab,18.42,2022-10-20T23:00:00Z
175,Humidity,1,mqtt.angizehco.com,4,toossab,18.38,2022-10-21T00:00:00Z
176,Humidity,1,mqtt.angizehco.com,4,toossab,18.41,2022-10-21T01:00:00Z
177,Humidity,1,mqtt.angizehco.com,4,toossab,18.3,2022-10-21T02:00:00Z
178,Humidity,1,mqtt.angizehco.com,4,toossab,18.2,2022-10-21T03:00:00Z
179,Humidity,1,mqtt.angizehco.com,4,toossab,18.2,2022-10-21T04:00:00Z
180,Humidity,1,mqtt.angizehco.com,4,toossab,18.16,2022-10-21T05:00:00Z
181,Humidity,1,mqtt.angizehco.com,4,toossab,18.21,2022-10-21T06:00:00Z
182,Humidity,1,mqtt.angizehco.com,4,toossab,17.92,2022-10-21T07:00:00Z
183,Humidity,1,mqtt.angizehco.com,4,toossab,18.03,2022-10-21T08:00:00Z
184,Humidity,1,mqtt.angizehco.com,4,toossab,18.82,2022-10-21T09:00:00Z
185,Humidity,1,mqtt.angizehco.com,4,toossab,17.94,2022-10-21T10:00:00Z
186,Humidity,1,mqtt.angizehco.com,4,toossab,17.59,2022-10-21T11:00:00Z
187,Humidity,1,mqtt.angizehco.com,4,toossab,16.68,2022-10-21T12:00:00Z
188,Humidity,1,mqtt.angizehco.com,4,toossab,16.36,2022-10-21T13:00:00Z
189,Humidity,1,mqtt.angizehco.com,4,toossab,16.89,2022-10-21T14:00:00Z
190,Humidity,1,mqtt.angizehco.com,4,toossab,17.09,2022-10-21T15:00:00Z
191,Humidity,1,mqtt.angizehco.com,4,toossab,17.24,2022-10-21T16:00:00Z
192,Humidity,1,mqtt.angizehco.com,4,toossab,17.48,2022-10-21T17:00:00Z
193,Humidity,1,mqtt.angizehco.com,4,toossab,17.69,2022-10-21T18:00:00Z
194,Humidity,1,mqtt.angizehco.com,4,toossab,17.67,2022-10-21T19:00:00Z
195,Humidity,1,mqtt.angizehco.com,4,toossab,18.33,2022-10-21T20:00:00Z
196,Humidity,1,mqtt.angizehco.com,4,toossab,18.64,2022-10-21T21:00:00Z
197,Humidity,1,mqtt.angizehco.com,4,toossab,18.91,2022-10-21T22:00:00Z
198,Humidity,1,mqtt.angizehco.com,4,toossab,19.11,2022-10-21T23:00:00Z
199,Humidity,1,mqtt.angizehco.com,4,toossab,19.05,2022-10-22T00:00:00Z
200,Humidity,1,mqtt.angizehco.com,4,toossab,18.98,2022-10-22T01:00:00Z
201,Humidity,1,mqtt.angizehco.com,4,toossab,19,2022-10-22T02:00:00Z
202,Humidity,1,mqtt.angizehco.com,4,toossab,18.86,2022-10-22T03:00:00Z
203,Humidity,1,mqtt.angizehco.com,4,toossab,18.34,2022-10-22T04:00:00Z
204,Humidity,1,mqtt.angizehco.com,4,toossab,20.14,2022-10-22T05:00:00Z
205,Humidity,1,mqtt.angizehco.com,4,toossab,31.19,2022-10-22T06:00:00Z
206,Humidity,1,mqtt.angizehco.com,4,toossab,30.02,2022-10-22T07:00:00Z
207,Humidity,1,mqtt.angizehco.com,4,toossab,22.04,2022-10-23T12:00:00Z
208,Humidity,1,mqtt.angizehco.com,4,toossab,21.42,2022-10-23T13:00:00Z
209,Humidity,1,mqtt.angizehco.com,4,toossab,20.97,2022-10-23T14:00:00Z
210,Humidity,1,mqtt.angizehco.com,4,toossab,20.02,2022-10-23T15:00:00Z
211,Humidity,1,mqtt.angizehco.com,4,toossab,20.28,2022-10-23T16:00:00Z
212,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-23T17:00:00Z
213,Humidity,1,mqtt.angizehco.com,4,toossab,19.62,2022-10-23T18:00:00Z
214,Humidity,1,mqtt.angizehco.com,4,toossab,19.48,2022-10-23T19:00:00Z
215,Humidity,1,mqtt.angizehco.com,4,toossab,19.91,2022-10-23T20:00:00Z
216,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-23T21:00:00Z
217,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-23T22:00:00Z
218,Humidity,1,mqtt.angizehco.com,4,toossab,20.01,2022-10-23T23:00:00Z
219,Humidity,1,mqtt.angizehco.com,4,toossab,20.01,2022-10-24T00:00:00Z
220,Humidity,1,mqtt.angizehco.com,4,toossab,20.43,2022-10-24T01:00:00Z
221,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-24T03:00:00Z
222,Humidity,1,mqtt.angizehco.com,4,toossab,22,2022-10-24T04:00:00Z
223,Humidity,1,mqtt.angizehco.com,4,toossab,22.71,2022-10-24T05:00:00Z
224,Humidity,1,mqtt.angizehco.com,4,toossab,23.29,2022-10-24T06:00:00Z
225,Humidity,1,mqtt.angizehco.com,4,toossab,23.88,2022-10-24T07:00:00Z
226,Humidity,1,mqtt.angizehco.com,4,toossab,24.25,2022-10-24T08:00:00Z
227,Humidity,1,mqtt.angizehco.com,4,toossab,23.99,2022-10-24T09:00:00Z
228,Humidity,1,mqtt.angizehco.com,4,toossab,22.86,2022-10-24T10:00:00Z
229,Humidity,1,mqtt.angizehco.com,4,toossab,21.98,2022-10-24T11:00:00Z
230,Humidity,1,mqtt.angizehco.com,4,toossab,22.11,2022-10-24T12:00:00Z
231,Humidity,1,mqtt.angizehco.com,4,toossab,21.98,2022-10-24T13:00:00Z
232,Humidity,1,mqtt.angizehco.com,4,toossab,21.23,2022-10-24T14:00:00Z
233,Humidity,1,mqtt.angizehco.com,4,toossab,20.83,2022-10-24T15:00:00Z
234,Humidity,1,mqtt.angizehco.com,4,toossab,21.82,2022-10-24T16:00:00Z
235,Humidity,1,mqtt.angizehco.com,4,toossab,21.99,2022-10-24T17:00:00Z
236,Humidity,1,mqtt.angizehco.com,4,toossab,20.98,2022-10-24T18:00:00Z
237,Humidity,1,mqtt.angizehco.com,4,toossab,20.56,2022-10-24T19:00:00Z
238,Humidity,1,mqtt.angizehco.com,4,toossab,20.14,2022-10-24T22:00:00Z
239,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-24T23:00:00Z
240,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-25T00:00:00Z
241,Humidity,1,mqtt.angizehco.com,4,toossab,20.02,2022-10-25T01:00:00Z
242,Humidity,1,mqtt.angizehco.com,4,toossab,20.79,2022-10-25T03:00:00Z
243,Humidity,1,mqtt.angizehco.com,4,toossab,22.01,2022-10-25T04:00:00Z
244,Humidity,1,mqtt.angizehco.com,4,toossab,23.02,2022-10-25T05:00:00Z
245,Humidity,1,mqtt.angizehco.com,4,toossab,23.98,2022-10-25T06:00:00Z
246,Humidity,1,mqtt.angizehco.com,4,toossab,23.39,2022-10-25T07:00:00Z
247,Humidity,1,mqtt.angizehco.com,4,toossab,22.01,2022-10-25T08:00:00Z
248,Humidity,1,mqtt.angizehco.com,4,toossab,23,2022-10-25T09:00:00Z
249,Humidity,1,mqtt.angizehco.com,4,toossab,25.71,2022-10-25T10:00:00Z
250,Humidity,1,mqtt.angizehco.com,4,toossab,24.99,2022-10-25T11:00:00Z
251,Humidity,1,mqtt.angizehco.com,4,toossab,23.11,2022-10-25T12:00:00Z
252,Humidity,1,mqtt.angizehco.com,4,toossab,21.99,2022-10-25T13:00:00Z
253,Humidity,1,mqtt.angizehco.com,4,toossab,20.99,2022-10-25T14:00:00Z
254,Humidity,1,mqtt.angizehco.com,4,toossab,21.21,2022-10-25T15:00:00Z
255,Humidity,1,mqtt.angizehco.com,4,toossab,21.99,2022-10-25T16:00:00Z
256,Humidity,1,mqtt.angizehco.com,4,toossab,20.98,2022-10-25T17:00:00Z
257,Humidity,1,mqtt.angizehco.com,4,toossab,21.02,2022-10-25T21:00:00Z
258,Humidity,1,mqtt.angizehco.com,4,toossab,22,2022-10-25T22:00:00Z
259,Humidity,1,mqtt.angizehco.com,4,toossab,22,2022-10-26T02:00:00Z
260,Humidity,1,mqtt.angizehco.com,4,toossab,21.98,2022-10-26T03:00:00Z
261,Humidity,1,mqtt.angizehco.com,4,toossab,22,2022-10-26T04:00:00Z
262,Humidity,1,mqtt.angizehco.com,4,toossab,22,2022-10-26T05:00:00Z
263,Humidity,1,mqtt.angizehco.com,4,toossab,22.98,2022-10-26T06:00:00Z
264,Humidity,1,mqtt.angizehco.com,4,toossab,22.99,2022-10-26T07:00:00Z
265,Humidity,1,mqtt.angizehco.com,4,toossab,22.99,2022-10-26T08:00:00Z
266,Humidity,1,mqtt.angizehco.com,4,toossab,21.99,2022-10-26T09:00:00Z
267,Humidity,1,mqtt.angizehco.com,4,toossab,21.98,2022-10-26T10:00:00Z
268,Humidity,1,mqtt.angizehco.com,4,toossab,20.98,2022-10-26T11:00:00Z
269,Humidity,1,mqtt.angizehco.com,4,toossab,19.99,2022-10-26T12:00:00Z
270,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-26T13:00:00Z
271,Humidity,1,mqtt.angizehco.com,4,toossab,20,2022-10-26T14:00:00Z
272,Humidity,1,mqtt.angizehco.com,4,toossab,21.01,2022-10-26T15:00:00Z
273,Humidity,1,mqtt.angizehco.com,4,toossab,21,2022-10-26T16:00:00Z
